APP: task-management || date: 2024-09-04 16:15:37.123 || thread: [http-nio-8081-exec-1] || level: DEBUG || logger: i.g.r.c.i.CircuitBreakerStateMachine || line: 246 || message: CircuitBreaker 'taskManagerService' succeeded: 
APP: task-management || date: 2024-09-04 16:15:37.125 || thread: [http-nio-8081-exec-1] || level: DEBUG || logger: i.g.r.c.i.CircuitBreakerStateMachine || line: 403 || message: Event SUCCESS published: 2024-09-04T16:15:37.124874300+03:00[Europe/Istanbul]: CircuitBreaker 'taskManagerService' recorded a successful call. Elapsed time: 12 ms 
APP: task-management || date: 2024-09-04 16:17:08.389 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 50 || message: Starting WebclientServiceApplication using Java 22.0.2 with PID 2004 (C:\Users\User\Desktop\SpringBoot\webclient-service\target\classes started by User in C:\Users\User\Desktop\SpringBoot\webclient-service) 
APP: task-management || date: 2024-09-04 16:17:08.391 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 654 || message: No active profile set, falling back to 1 default profile: "default" 
APP: task-management || date: 2024-09-04 16:17:08.422 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor || line: 252 || message: Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
APP: task-management || date: 2024-09-04 16:17:08.422 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor || line: 252 || message: For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
APP: task-management || date: 2024-09-04 16:17:09.833 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.e.tomcat.TomcatWebServer || line: 111 || message: Tomcat initialized with port 8081 (http) 
APP: task-management || date: 2024-09-04 16:17:09.841 || thread: [restartedMain] || level: INFO  || logger: o.a.coyote.http11.Http11NioProtocol || line: 173 || message: Initializing ProtocolHandler ["http-nio-8081"] 
APP: task-management || date: 2024-09-04 16:17:09.844 || thread: [restartedMain] || level: INFO  || logger: o.a.catalina.core.StandardService || line: 173 || message: Starting service [Tomcat] 
APP: task-management || date: 2024-09-04 16:17:09.844 || thread: [restartedMain] || level: INFO  || logger: o.a.catalina.core.StandardEngine || line: 173 || message: Starting Servlet engine: [Apache Tomcat/10.1.28] 
APP: task-management || date: 2024-09-04 16:17:09.885 || thread: [restartedMain] || level: INFO  || logger: o.a.c.c.C.[Tomcat].[localhost].[/] || line: 173 || message: Initializing Spring embedded WebApplicationContext 
APP: task-management || date: 2024-09-04 16:17:09.886 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.s.c.ServletWebServerApplicationContext || line: 296 || message: Root WebApplicationContext: initialization completed in 1463 ms 
APP: task-management || date: 2024-09-04 16:17:12.089 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.a.OptionalLiveReloadServer || line: 59 || message: LiveReload server is running on port 57235 
APP: task-management || date: 2024-09-04 16:17:12.167 || thread: [restartedMain] || level: INFO  || logger: o.s.b.a.e.web.EndpointLinksResolver || line: 60 || message: Exposing 2 endpoints beneath base path '/actuator' 
APP: task-management || date: 2024-09-04 16:17:12.218 || thread: [restartedMain] || level: INFO  || logger: o.a.coyote.http11.Http11NioProtocol || line: 173 || message: Starting ProtocolHandler ["http-nio-8081"] 
APP: task-management || date: 2024-09-04 16:17:12.244 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.e.tomcat.TomcatWebServer || line: 243 || message: Tomcat started on port 8081 (http) with context path '/' 
APP: task-management || date: 2024-09-04 16:17:12.272 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 56 || message: Started WebclientServiceApplication in 4.311 seconds (process running for 4.997) 
APP: task-management || date: 2024-09-04 16:17:19.594 || thread: [File Watcher] || level: INFO  || logger: o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener || line: 211 || message: Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification) 
APP: task-management || date: 2024-09-04 16:17:19.597 || thread: [Thread-7] || level: INFO  || logger: o.a.coyote.http11.Http11NioProtocol || line: 173 || message: Stopping ProtocolHandler ["http-nio-8081"] 
APP: task-management || date: 2024-09-04 16:17:19.719 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 50 || message: Starting WebclientServiceApplication using Java 22.0.2 with PID 2004 (C:\Users\User\Desktop\SpringBoot\webclient-service\target\classes started by User in C:\Users\User\Desktop\SpringBoot\webclient-service) 
APP: task-management || date: 2024-09-04 16:17:19.720 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 654 || message: No active profile set, falling back to 1 default profile: "default" 
APP: task-management || date: 2024-09-04 16:17:20.212 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.e.tomcat.TomcatWebServer || line: 111 || message: Tomcat initialized with port 8081 (http) 
APP: task-management || date: 2024-09-04 16:17:20.213 || thread: [restartedMain] || level: INFO  || logger: o.a.coyote.http11.Http11NioProtocol || line: 173 || message: Initializing ProtocolHandler ["http-nio-8081"] 
APP: task-management || date: 2024-09-04 16:17:20.213 || thread: [restartedMain] || level: INFO  || logger: o.a.catalina.core.StandardService || line: 173 || message: Starting service [Tomcat] 
APP: task-management || date: 2024-09-04 16:17:20.213 || thread: [restartedMain] || level: INFO  || logger: o.a.catalina.core.StandardEngine || line: 173 || message: Starting Servlet engine: [Apache Tomcat/10.1.28] 
APP: task-management || date: 2024-09-04 16:17:20.233 || thread: [restartedMain] || level: INFO  || logger: o.a.c.c.C.[Tomcat].[localhost].[/] || line: 173 || message: Initializing Spring embedded WebApplicationContext 
APP: task-management || date: 2024-09-04 16:17:20.233 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.s.c.ServletWebServerApplicationContext || line: 296 || message: Root WebApplicationContext: initialization completed in 512 ms 
APP: task-management || date: 2024-09-04 16:17:21.597 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.a.OptionalLiveReloadServer || line: 59 || message: LiveReload server is running on port 0 
APP: task-management || date: 2024-09-04 16:17:21.665 || thread: [restartedMain] || level: INFO  || logger: o.s.b.a.e.web.EndpointLinksResolver || line: 60 || message: Exposing 2 endpoints beneath base path '/actuator' 
APP: task-management || date: 2024-09-04 16:17:21.693 || thread: [restartedMain] || level: INFO  || logger: o.a.coyote.http11.Http11NioProtocol || line: 173 || message: Starting ProtocolHandler ["http-nio-8081"] 
APP: task-management || date: 2024-09-04 16:17:21.703 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.e.tomcat.TomcatWebServer || line: 243 || message: Tomcat started on port 8081 (http) with context path '/' 
APP: task-management || date: 2024-09-04 16:17:21.725 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 56 || message: Started WebclientServiceApplication in 2.057 seconds (process running for 14.45) 
APP: task-management || date: 2024-09-04 16:17:21.727 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.a.ConditionEvaluationDeltaLoggingListener || line: 63 || message: Condition evaluation unchanged 
APP: task-management || date: 2024-09-04 16:17:21.778 || thread: [http-nio-8081-exec-1] || level: INFO  || logger: o.a.c.c.C.[Tomcat].[localhost].[/] || line: 173 || message: Initializing Spring DispatcherServlet 'dispatcherServlet' 
APP: task-management || date: 2024-09-04 16:17:21.779 || thread: [http-nio-8081-exec-1] || level: INFO  || logger: o.s.web.servlet.DispatcherServlet || line: 532 || message: Initializing Servlet 'dispatcherServlet' 
APP: task-management || date: 2024-09-04 16:17:21.780 || thread: [http-nio-8081-exec-1] || level: INFO  || logger: o.s.web.servlet.DispatcherServlet || line: 554 || message: Completed initialization in 1 ms 
APP: task-management || date: 2024-09-04 16:17:21.802 || thread: [http-nio-8081-exec-1] || level: INFO  || logger: c.p.w.controller.TaskController || line: 31 || message: Received request to get all tasks 
APP: task-management || date: 2024-09-04 16:17:21.808 || thread: [http-nio-8081-exec-1] || level: INFO  || logger: c.p.w.service.impl.TaskServiceImpl || line: 29 || message: Starting getAllTasks method 
APP: task-management || date: 2024-09-04 16:17:39.062 || thread: [http-nio-8081-exec-3] || level: INFO  || logger: c.p.w.controller.TaskController || line: 31 || message: Received request to get all tasks 
APP: task-management || date: 2024-09-04 16:17:39.063 || thread: [http-nio-8081-exec-3] || level: INFO  || logger: c.p.w.service.impl.TaskServiceImpl || line: 29 || message: Starting getAllTasks method 
APP: task-management || date: 2024-09-04 16:18:12.142 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 50 || message: Starting WebclientServiceApplication using Java 22.0.2 with PID 1828 (C:\Users\User\Desktop\SpringBoot\webclient-service\target\classes started by User in C:\Users\User\Desktop\SpringBoot\webclient-service) 
APP: task-management || date: 2024-09-04 16:18:12.144 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 654 || message: No active profile set, falling back to 1 default profile: "default" 
APP: task-management || date: 2024-09-04 16:18:12.185 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor || line: 252 || message: Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
APP: task-management || date: 2024-09-04 16:18:12.186 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor || line: 252 || message: For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
APP: task-management || date: 2024-09-04 16:18:13.779 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.e.tomcat.TomcatWebServer || line: 111 || message: Tomcat initialized with port 8081 (http) 
APP: task-management || date: 2024-09-04 16:18:13.789 || thread: [restartedMain] || level: INFO  || logger: o.a.coyote.http11.Http11NioProtocol || line: 173 || message: Initializing ProtocolHandler ["http-nio-8081"] 
APP: task-management || date: 2024-09-04 16:18:13.792 || thread: [restartedMain] || level: INFO  || logger: o.a.catalina.core.StandardService || line: 173 || message: Starting service [Tomcat] 
APP: task-management || date: 2024-09-04 16:18:13.792 || thread: [restartedMain] || level: INFO  || logger: o.a.catalina.core.StandardEngine || line: 173 || message: Starting Servlet engine: [Apache Tomcat/10.1.28] 
APP: task-management || date: 2024-09-04 16:18:13.838 || thread: [restartedMain] || level: INFO  || logger: o.a.c.c.C.[Tomcat].[localhost].[/] || line: 173 || message: Initializing Spring embedded WebApplicationContext 
APP: task-management || date: 2024-09-04 16:18:13.839 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.s.c.ServletWebServerApplicationContext || line: 296 || message: Root WebApplicationContext: initialization completed in 1652 ms 
APP: task-management || date: 2024-09-04 16:18:16.312 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.a.OptionalLiveReloadServer || line: 59 || message: LiveReload server is running on port 57265 
APP: task-management || date: 2024-09-04 16:18:16.402 || thread: [restartedMain] || level: INFO  || logger: o.s.b.a.e.web.EndpointLinksResolver || line: 60 || message: Exposing 2 endpoints beneath base path '/actuator' 
APP: task-management || date: 2024-09-04 16:18:16.461 || thread: [restartedMain] || level: INFO  || logger: o.a.coyote.http11.Http11NioProtocol || line: 173 || message: Starting ProtocolHandler ["http-nio-8081"] 
APP: task-management || date: 2024-09-04 16:18:16.487 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.e.tomcat.TomcatWebServer || line: 243 || message: Tomcat started on port 8081 (http) with context path '/' 
APP: task-management || date: 2024-09-04 16:18:16.513 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 56 || message: Started WebclientServiceApplication in 4.895 seconds (process running for 5.663) 
APP: task-management || date: 2024-09-04 16:19:17.627 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 50 || message: Starting WebclientServiceApplication using Java 22.0.2 with PID 13488 (C:\Users\User\Desktop\SpringBoot\webclient-service\target\classes started by User in C:\Users\User\Desktop\SpringBoot\webclient-service) 
APP: task-management || date: 2024-09-04 16:19:17.629 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 654 || message: No active profile set, falling back to 1 default profile: "default" 
APP: task-management || date: 2024-09-04 16:19:17.659 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor || line: 252 || message: Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
APP: task-management || date: 2024-09-04 16:19:17.660 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor || line: 252 || message: For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
APP: task-management || date: 2024-09-04 16:19:19.099 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.e.tomcat.TomcatWebServer || line: 111 || message: Tomcat initialized with port 8081 (http) 
APP: task-management || date: 2024-09-04 16:19:19.107 || thread: [restartedMain] || level: INFO  || logger: o.a.coyote.http11.Http11NioProtocol || line: 173 || message: Initializing ProtocolHandler ["http-nio-8081"] 
APP: task-management || date: 2024-09-04 16:19:19.110 || thread: [restartedMain] || level: INFO  || logger: o.a.catalina.core.StandardService || line: 173 || message: Starting service [Tomcat] 
APP: task-management || date: 2024-09-04 16:19:19.110 || thread: [restartedMain] || level: INFO  || logger: o.a.catalina.core.StandardEngine || line: 173 || message: Starting Servlet engine: [Apache Tomcat/10.1.28] 
APP: task-management || date: 2024-09-04 16:19:19.152 || thread: [restartedMain] || level: INFO  || logger: o.a.c.c.C.[Tomcat].[localhost].[/] || line: 173 || message: Initializing Spring embedded WebApplicationContext 
APP: task-management || date: 2024-09-04 16:19:19.153 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.s.c.ServletWebServerApplicationContext || line: 296 || message: Root WebApplicationContext: initialization completed in 1493 ms 
APP: task-management || date: 2024-09-04 16:19:21.240 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.a.OptionalLiveReloadServer || line: 59 || message: LiveReload server is running on port 57325 
APP: task-management || date: 2024-09-04 16:19:21.321 || thread: [restartedMain] || level: INFO  || logger: o.s.b.a.e.web.EndpointLinksResolver || line: 60 || message: Exposing 2 endpoints beneath base path '/actuator' 
APP: task-management || date: 2024-09-04 16:19:21.371 || thread: [restartedMain] || level: INFO  || logger: o.a.coyote.http11.Http11NioProtocol || line: 173 || message: Starting ProtocolHandler ["http-nio-8081"] 
APP: task-management || date: 2024-09-04 16:19:21.398 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.e.tomcat.TomcatWebServer || line: 243 || message: Tomcat started on port 8081 (http) with context path '/' 
APP: task-management || date: 2024-09-04 16:19:21.424 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 56 || message: Started WebclientServiceApplication in 4.218 seconds (process running for 4.886) 
APP: task-management || date: 2024-09-04 16:19:27.326 || thread: [http-nio-8081-exec-1] || level: INFO  || logger: o.a.c.c.C.[Tomcat].[localhost].[/] || line: 173 || message: Initializing Spring DispatcherServlet 'dispatcherServlet' 
APP: task-management || date: 2024-09-04 16:19:27.326 || thread: [http-nio-8081-exec-1] || level: INFO  || logger: o.s.web.servlet.DispatcherServlet || line: 532 || message: Initializing Servlet 'dispatcherServlet' 
APP: task-management || date: 2024-09-04 16:19:27.329 || thread: [http-nio-8081-exec-1] || level: INFO  || logger: o.s.web.servlet.DispatcherServlet || line: 554 || message: Completed initialization in 2 ms 
APP: task-management || date: 2024-09-04 16:19:27.351 || thread: [http-nio-8081-exec-1] || level: INFO  || logger: c.p.w.controller.TaskController || line: 31 || message: Received request to get all tasks 
APP: task-management || date: 2024-09-04 16:19:27.357 || thread: [http-nio-8081-exec-1] || level: INFO  || logger: c.p.w.service.impl.TaskServiceImpl || line: 29 || message: Starting getAllTasks method 
APP: task-management || date: 2024-09-04 16:19:56.395 || thread: [File Watcher] || level: INFO  || logger: o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener || line: 211 || message: Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification) 
APP: task-management || date: 2024-09-04 16:19:56.398 || thread: [Thread-7] || level: INFO  || logger: o.a.coyote.http11.Http11NioProtocol || line: 173 || message: Stopping ProtocolHandler ["http-nio-8081"] 
APP: task-management || date: 2024-09-04 16:19:56.517 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 50 || message: Starting WebclientServiceApplication using Java 22.0.2 with PID 13488 (C:\Users\User\Desktop\SpringBoot\webclient-service\target\classes started by User in C:\Users\User\Desktop\SpringBoot\webclient-service) 
