APP: task-management || date: 2024-09-09 09:36:17.014 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 50 || message: Starting WebclientServiceApplication using Java 22.0.2 with PID 19884 (C:\Users\User\Desktop\SpringBoot\webclient-service\target\classes started by User in C:\Users\User\Desktop\SpringBoot\webclient-service) 
APP: task-management || date: 2024-09-09 09:36:17.017 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 654 || message: No active profile set, falling back to 1 default profile: "default" 
APP: task-management || date: 2024-09-09 09:36:17.061 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor || line: 252 || message: Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
APP: task-management || date: 2024-09-09 09:36:17.062 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor || line: 252 || message: For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
APP: task-management || date: 2024-09-09 09:36:18.845 || thread: [restartedMain] || level: INFO  || logger: o.s.cloud.context.scope.GenericScope || line: 282 || message: BeanFactory id=3f35a0f9-7fe0-3bf6-b64b-8518112e08ca 
APP: task-management || date: 2024-09-09 09:36:19.600 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.e.tomcat.TomcatWebServer || line: 111 || message: Tomcat initialized with port 8081 (http) 
APP: task-management || date: 2024-09-09 09:36:19.617 || thread: [restartedMain] || level: INFO  || logger: o.a.coyote.http11.Http11NioProtocol || line: 173 || message: Initializing ProtocolHandler ["http-nio-8081"] 
APP: task-management || date: 2024-09-09 09:36:19.620 || thread: [restartedMain] || level: INFO  || logger: o.a.catalina.core.StandardService || line: 173 || message: Starting service [Tomcat] 
APP: task-management || date: 2024-09-09 09:36:19.621 || thread: [restartedMain] || level: INFO  || logger: o.a.catalina.core.StandardEngine || line: 173 || message: Starting Servlet engine: [Apache Tomcat/10.1.28] 
APP: task-management || date: 2024-09-09 09:36:19.682 || thread: [restartedMain] || level: INFO  || logger: o.a.c.c.C.[Tomcat].[localhost].[/] || line: 173 || message: Initializing Spring embedded WebApplicationContext 
APP: task-management || date: 2024-09-09 09:36:19.682 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.s.c.ServletWebServerApplicationContext || line: 296 || message: Root WebApplicationContext: initialization completed in 2620 ms 
APP: task-management || date: 2024-09-09 09:36:22.159 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.a.OptionalLiveReloadServer || line: 59 || message: LiveReload server is running on port 63517 
APP: task-management || date: 2024-09-09 09:36:22.245 || thread: [restartedMain] || level: INFO  || logger: o.s.b.a.e.web.EndpointLinksResolver || line: 60 || message: Exposing 1 endpoint beneath base path '/actuator' 
APP: task-management || date: 2024-09-09 09:36:22.317 || thread: [restartedMain] || level: INFO  || logger: o.a.coyote.http11.Http11NioProtocol || line: 173 || message: Starting ProtocolHandler ["http-nio-8081"] 
APP: task-management || date: 2024-09-09 09:36:22.344 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.e.tomcat.TomcatWebServer || line: 243 || message: Tomcat started on port 8081 (http) with context path '/' 
APP: task-management || date: 2024-09-09 09:36:22.376 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 56 || message: Started WebclientServiceApplication in 6.001 seconds (process running for 8.352) 
APP: task-management || date: 2024-09-09 09:36:37.710 || thread: [http-nio-8081-exec-2] || level: INFO  || logger: o.a.c.c.C.[Tomcat].[localhost].[/] || line: 173 || message: Initializing Spring DispatcherServlet 'dispatcherServlet' 
APP: task-management || date: 2024-09-09 09:36:37.711 || thread: [http-nio-8081-exec-2] || level: INFO  || logger: o.s.web.servlet.DispatcherServlet || line: 532 || message: Initializing Servlet 'dispatcherServlet' 
APP: task-management || date: 2024-09-09 09:36:37.714 || thread: [http-nio-8081-exec-2] || level: INFO  || logger: o.s.web.servlet.DispatcherServlet || line: 554 || message: Completed initialization in 3 ms 
APP: task-management || date: 2024-09-09 09:36:37.743 || thread: [http-nio-8081-exec-2] || level: INFO  || logger: c.p.w.controller.TaskController || line: 31 || message: Received request to get all tasks 
APP: task-management || date: 2024-09-09 09:36:37.743 || thread: [http-nio-8081-exec-2] || level: INFO  || logger: c.p.w.service.impl.TaskServiceImpl || line: 33 || message: getAllTasks method called to retrieve all tasks. 
APP: task-management || date: 2024-09-09 09:36:38.456 || thread: [reactor-http-nio-2] || level: INFO  || logger: c.p.w.service.impl.TaskServiceImpl || line: 54 || message: Caching 10 tasks after successful fetch 
APP: task-management || date: 2024-09-09 09:36:49.914 || thread: [http-nio-8081-exec-4] || level: INFO  || logger: c.p.w.controller.TaskController || line: 31 || message: Received request to get all tasks 
APP: task-management || date: 2024-09-09 09:36:49.915 || thread: [http-nio-8081-exec-4] || level: INFO  || logger: c.p.w.service.impl.TaskServiceImpl || line: 33 || message: getAllTasks method called to retrieve all tasks. 
APP: task-management || date: 2024-09-09 09:36:49.929 || thread: [reactor-http-nio-2] || level: INFO  || logger: c.p.w.service.impl.TaskServiceImpl || line: 54 || message: Caching 10 tasks after successful fetch 
APP: task-management || date: 2024-09-09 09:37:25.669 || thread: [http-nio-8081-exec-6] || level: WARN  || logger: o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver || line: 247 || message: Resolved [org.springframework.web.servlet.resource.NoResourceFoundException: No static resource web-client/get-task.] 
APP: task-management || date: 2024-09-09 09:38:38.145 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 50 || message: Starting WebclientServiceApplication using Java 22.0.2 with PID 9916 (C:\Users\User\Desktop\SpringBoot\webclient-service\target\classes started by User in C:\Users\User\Desktop\SpringBoot\webclient-service) 
APP: task-management || date: 2024-09-09 09:38:38.147 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 654 || message: No active profile set, falling back to 1 default profile: "default" 
APP: task-management || date: 2024-09-09 09:38:38.181 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor || line: 252 || message: Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
APP: task-management || date: 2024-09-09 09:38:38.181 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor || line: 252 || message: For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
APP: task-management || date: 2024-09-09 09:38:39.225 || thread: [restartedMain] || level: INFO  || logger: o.s.cloud.context.scope.GenericScope || line: 282 || message: BeanFactory id=3f35a0f9-7fe0-3bf6-b64b-8518112e08ca 
APP: task-management || date: 2024-09-09 09:38:39.923 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.e.tomcat.TomcatWebServer || line: 111 || message: Tomcat initialized with port 8081 (http) 
APP: task-management || date: 2024-09-09 09:38:39.931 || thread: [restartedMain] || level: INFO  || logger: o.a.coyote.http11.Http11NioProtocol || line: 173 || message: Initializing ProtocolHandler ["http-nio-8081"] 
APP: task-management || date: 2024-09-09 09:38:39.934 || thread: [restartedMain] || level: INFO  || logger: o.a.catalina.core.StandardService || line: 173 || message: Starting service [Tomcat] 
APP: task-management || date: 2024-09-09 09:38:39.934 || thread: [restartedMain] || level: INFO  || logger: o.a.catalina.core.StandardEngine || line: 173 || message: Starting Servlet engine: [Apache Tomcat/10.1.28] 
APP: task-management || date: 2024-09-09 09:38:40.003 || thread: [restartedMain] || level: INFO  || logger: o.a.c.c.C.[Tomcat].[localhost].[/] || line: 173 || message: Initializing Spring embedded WebApplicationContext 
APP: task-management || date: 2024-09-09 09:38:40.004 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.s.c.ServletWebServerApplicationContext || line: 296 || message: Root WebApplicationContext: initialization completed in 1822 ms 
APP: task-management || date: 2024-09-09 09:38:42.610 || thread: [restartedMain] || level: INFO  || logger: o.s.b.d.a.OptionalLiveReloadServer || line: 59 || message: LiveReload server is running on port 63569 
APP: task-management || date: 2024-09-09 09:38:42.765 || thread: [restartedMain] || level: INFO  || logger: o.s.b.a.e.web.EndpointLinksResolver || line: 60 || message: Exposing 1 endpoint beneath base path '/actuator' 
APP: task-management || date: 2024-09-09 09:38:42.861 || thread: [restartedMain] || level: INFO  || logger: o.a.coyote.http11.Http11NioProtocol || line: 173 || message: Starting ProtocolHandler ["http-nio-8081"] 
APP: task-management || date: 2024-09-09 09:38:42.901 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.e.tomcat.TomcatWebServer || line: 243 || message: Tomcat started on port 8081 (http) with context path '/' 
APP: task-management || date: 2024-09-09 09:38:42.943 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 56 || message: Started WebclientServiceApplication in 5.27 seconds (process running for 6.105) 
APP: task-management || date: 2024-09-09 09:38:44.398 || thread: [http-nio-8081-exec-2] || level: INFO  || logger: o.a.c.c.C.[Tomcat].[localhost].[/] || line: 173 || message: Initializing Spring DispatcherServlet 'dispatcherServlet' 
APP: task-management || date: 2024-09-09 09:38:44.399 || thread: [http-nio-8081-exec-2] || level: INFO  || logger: o.s.web.servlet.DispatcherServlet || line: 532 || message: Initializing Servlet 'dispatcherServlet' 
APP: task-management || date: 2024-09-09 09:38:44.400 || thread: [http-nio-8081-exec-2] || level: INFO  || logger: o.s.web.servlet.DispatcherServlet || line: 554 || message: Completed initialization in 1 ms 
APP: task-management || date: 2024-09-09 09:38:44.455 || thread: [http-nio-8081-exec-2] || level: WARN  || logger: o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver || line: 247 || message: Resolved [org.springframework.web.bind.MissingServletRequestParameterException: Required request parameter 'id' for method parameter type Long is not present] 
APP: task-management || date: 2024-09-09 09:38:51.387 || thread: [http-nio-8081-exec-4] || level: WARN  || logger: o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver || line: 247 || message: Resolved [org.springframework.web.bind.MissingServletRequestParameterException: Required request parameter 'id' for method parameter type Long is not present] 
APP: task-management || date: 2024-09-09 09:39:01.641 || thread: [http-nio-8081-exec-6] || level: INFO  || logger: c.p.w.controller.TaskController || line: 24 || message: Received request to get task by ID: 11 
APP: task-management || date: 2024-09-09 09:39:01.643 || thread: [http-nio-8081-exec-6] || level: INFO  || logger: c.p.w.service.impl.TaskServiceImpl || line: 73 || message: getTaskById method called for task ID: 11 
APP: task-management || date: 2024-09-09 09:39:02.043 || thread: [reactor-http-nio-2] || level: INFO  || logger: c.p.w.service.impl.TaskServiceImpl || line: 81 || message: Successfully fetched task with ID: 11 and title: Created task for database 
APP: task-management || date: 2024-09-09 09:39:12.327 || thread: [http-nio-8081-exec-8] || level: INFO  || logger: c.p.w.controller.TaskController || line: 24 || message: Received request to get task by ID: 11 
APP: task-management || date: 2024-09-09 09:39:12.327 || thread: [http-nio-8081-exec-8] || level: INFO  || logger: c.p.w.service.impl.TaskServiceImpl || line: 73 || message: getTaskById method called for task ID: 11 
APP: task-management || date: 2024-09-09 09:39:12.367 || thread: [http-nio-8081-exec-9] || level: WARN  || logger: o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver || line: 247 || message: Resolved [org.springframework.web.reactive.function.client.WebClientRequestException: Connection refused: getsockopt: localhost/127.0.0.1:8080] 
APP: task-management || date: 2024-09-09 09:40:47.621 || thread: [File Watcher] || level: INFO  || logger: o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener || line: 211 || message: Restarting due to 1 class path change (0 additions, 1 deletion, 0 modifications) 
APP: task-management || date: 2024-09-09 09:40:47.627 || thread: [Thread-7] || level: INFO  || logger: o.a.coyote.http11.Http11NioProtocol || line: 173 || message: Stopping ProtocolHandler ["http-nio-8081"] 
APP: task-management || date: 2024-09-09 09:40:47.829 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 50 || message: Starting WebclientServiceApplication using Java 22.0.2 with PID 9916 (C:\Users\User\Desktop\SpringBoot\webclient-service\target\classes started by User in C:\Users\User\Desktop\SpringBoot\webclient-service) 
APP: task-management || date: 2024-09-09 09:40:47.829 || thread: [restartedMain] || level: INFO  || logger: c.p.w.WebclientServiceApplication || line: 654 || message: No active profile set, falling back to 1 default profile: "default" 
APP: task-management || date: 2024-09-09 09:40:48.396 || thread: [restartedMain] || level: INFO  || logger: o.s.cloud.context.scope.GenericScope || line: 282 || message: BeanFactory id=f50520dc-8a3f-3ff5-974d-1d3b672ef695 
APP: task-management || date: 2024-09-09 09:40:48.623 || thread: [restartedMain] || level: INFO  || logger: o.s.b.w.e.tomcat.TomcatWebServer || line: 111 || message: Tomcat initialized with port 8081 (http) 
APP: task-management || date: 2024-09-09 09:40:48.624 || thread: [restartedMain] || level: INFO  || logger: o.a.coyote.http11.Http11NioProtocol || line: 173 || message: Initializing ProtocolHandler ["http-nio-8081"] 
